 r_peak96.000000 r_peak_value1.680415 rr_pre_interval96.000000 rr_post_interval98.000000 p_onset3.000000 p_onset_val1.492136 p_peak76.000000 p_peak_val-0.145939 p_end79.000000 p_end_val-0.133384 qrs_onset86.000000 qrs_onset_val0.148638 qrs_end28.000000 qrs_end_val-0.190160 t_peak22.000000 t_peak_val0.000991 t_end98.000000 t_end_val0.299376
 r_peak277245.000000 r_peak_value1.030847 rr_pre_interval192.000000 rr_post_interval645.000000 p_onset404.000000 p_onset_val-0.021144 p_peak428.000000 p_peak_val0.771614 p_end447.000000 p_end_val-0.171082 qrs_onset625.000000 qrs_onset_val0.038733 qrs_end16.000000 qrs_end_val-0.118731 t_peak274.000000 t_peak_val0.484373 t_end306.000000 t_end_val0.116440
 r_peak277890.000000 r_peak_value1.305161 rr_pre_interval645.000000 rr_post_interval138.000000 p_onset65.000000 p_onset_val0.307981 p_peak117.000000 p_peak_val0.070832 p_end116.000000 p_end_val0.029109 qrs_onset123.000000 qrs_onset_val0.115330 qrs_end16.000000 qrs_end_val-0.340732 t_peak66.000000 t_peak_val0.373608 t_end137.000000 t_end_val1.025644
 r_peak278028.000000 r_peak_value1.095534 rr_pre_interval138.000000 rr_post_interval979.000000 p_onset661.000000 p_onset_val-0.147306 p_peak710.000000 p_peak_val1.087318 p_end765.000000 p_end_val0.199311 qrs_onset972.000000 qrs_onset_val0.318730 qrs_end19.000000 qrs_end_val-0.480627 t_peak471.000000 t_peak_val1.001711 t_end539.000000 t_end_val0.224329
 r_peak279007.000000 r_peak_value0.900862 rr_pre_interval979.000000 rr_post_interval278.000000 p_onset139.000000 p_onset_val-0.080939 p_peak168.000000 p_peak_val0.097837 p_end190.000000 p_end_val-0.004263 qrs_onset265.000000 qrs_onset_val0.068326 qrs_end12.000000 qrs_end_val-0.222759 t_peak66.000000 t_peak_val0.297932 t_end113.000000 t_end_val0.005127
 r_peak279285.000000 r_peak_value1.148749 rr_pre_interval278.000000 rr_post_interval144.000000 p_onset95.000000 p_onset_val0.023276 p_peak123.000000 p_peak_val0.266710 p_end121.000000 p_end_val0.129264 qrs_onset128.000000 qrs_onset_val-0.223322 qrs_end15.000000 qrs_end_val-0.157051 t_peak70.000000 t_peak_val0.165377 t_end95.000000 t_end_val0.023276
 r_peak279429.000000 r_peak_value1.249138 rr_pre_interval144.000000 rr_post_interval480.000000 p_onset266.000000 p_onset_val-0.097430 p_peak305.000000 p_peak_val1.143260 p_end371.000000 p_end_val0.195298 qrs_onset464.000000 qrs_onset_val-0.035939 qrs_end24.000000 qrs_end_val-0.445940 t_peak114.000000 t_peak_val0.990077 t_end142.000000 t_end_val-0.410501
 r_peak279909.000000 r_peak_value1.358512 rr_pre_interval480.000000 rr_post_interval226.000000 p_onset140.000000 p_onset_val-0.136020 p_peak178.000000 p_peak_val0.036458 p_end190.000000 p_end_val0.024075 qrs_onset208.000000 qrs_onset_val0.032336 qrs_end17.000000 qrs_end_val-0.310768 t_peak60.000000 t_peak_val0.242333 t_end63.000000 t_end_val0.207883
 r_peak280135.000000 r_peak_value1.490550 rr_pre_interval226.000000 rr_post_interval272.000000 p_onset77.000000 p_onset_val0.054175 p_peak167.000000 p_peak_val0.087163 p_end196.000000 p_end_val-0.069921 qrs_onset251.000000 qrs_onset_val-0.096237 qrs_end14.000000 qrs_end_val-0.255311 t_peak71.000000 t_peak_val0.238312 t_end77.000000 t_end_val0.054175
 r_peak280407.000000 r_peak_value1.736318 rr_pre_interval272.000000 rr_post_interval232.000000 p_onset117.000000 p_onset_val0.042854 p_peak171.000000 p_peak_val0.281959 p_end190.000000 p_end_val-0.070158 qrs_onset213.000000 qrs_onset_val-0.029485 qrs_end17.000000 qrs_end_val-0.314889 t_peak119.000000 t_peak_val0.404500 t_end169.000000 t_end_val0.123009
 r_peak280639.000000 r_peak_value1.347457 rr_pre_interval232.000000 rr_post_interval294.000000 p_onset194.000000 p_onset_val-0.009779 p_peak234.000000 p_peak_val0.092304 p_end251.000000 p_end_val0.035470 qrs_onset272.000000 qrs_onset_val-0.024639 qrs_end14.000000 qrs_end_val-0.190772 t_peak79.000000 t_peak_val0.248039 t_end107.000000 t_end_val0.011928
 r_peak280933.000000 r_peak_value1.974921 rr_pre_interval294.000000 rr_post_interval185.000000 p_onset135.000000 p_onset_val-0.041208 p_peak159.000000 p_peak_val0.079530 p_end170.000000 p_end_val0.019592 qrs_onset177.000000 qrs_onset_val1.092868 qrs_end18.000000 qrs_end_val-0.320785 t_peak77.000000 t_peak_val0.115547 t_end97.000000 t_end_val-0.171334
 r_peak281118.000000 r_peak_value2.347617 rr_pre_interval185.000000 rr_post_interval252.000000 p_onset133.000000 p_onset_val-0.101753 p_peak187.000000 p_peak_val-0.001286 p_end206.000000 p_end_val-0.062604 qrs_onset227.000000 qrs_onset_val-0.049611 qrs_end4.000000 qrs_end_val2.005625 t_peak73.000000 t_peak_val0.198012 t_end75.000000 t_end_val0.173623
 r_peak281370.000000 r_peak_value1.851220 rr_pre_interval252.000000 rr_post_interval599.000000 p_onset394.000000 p_onset_val0.098642 p_peak444.000000 p_peak_val0.839992 p_end480.000000 p_end_val-0.037721 qrs_onset584.000000 qrs_onset_val-0.157069 qrs_end16.000000 qrs_end_val-0.285253 t_peak198.000000 t_peak_val1.387318 t_end305.000000 t_end_val0.954342
 r_peak281969.000000 r_peak_value1.111410 rr_pre_interval599.000000 rr_post_interval231.000000 p_onset70.000000 p_onset_val0.135752 p_peak139.000000 p_peak_val0.057383 p_end177.000000 p_end_val-0.004935 qrs_onset215.000000 qrs_onset_val-0.058553 qrs_end14.000000 qrs_end_val-0.221444 t_peak73.000000 t_peak_val0.141708 t_end133.000000 t_end_val0.089280
 r_peak282200.000000 r_peak_value1.449787 rr_pre_interval231.000000 rr_post_interval173.000000 p_onset131.000000 p_onset_val-0.132932 p_peak152.000000 p_peak_val-0.098261 p_end158.000000 p_end_val-0.033826 qrs_onset165.000000 qrs_onset_val0.754372 qrs_end17.000000 qrs_end_val-0.393160 t_peak64.000000 t_peak_val0.155334 t_end67.000000 t_end_val0.119425
 r_peak282373.000000 r_peak_value1.712413 rr_pre_interval173.000000 rr_post_interval134.000000 p_onset64.000000 p_onset_val0.300360 p_peak82.000000 p_peak_val-0.048340 p_end103.000000 p_end_val-0.212574 qrs_onset122.000000 qrs_onset_val0.065342 qrs_end16.000000 qrs_end_val-0.331992 t_peak65.000000 t_peak_val0.310579 t_end103.000000 t_end_val-0.212574
 r_peak282507.000000 r_peak_value0.890217 rr_pre_interval134.000000 rr_post_interval315.000000 p_onset179.000000 p_onset_val-0.222321 p_peak212.000000 p_peak_val0.355407 p_end275.000000 p_end_val-0.008886 qrs_onset300.000000 qrs_onset_val-0.046099 qrs_end15.000000 qrs_end_val-0.367197 t_peak150.000000 t_peak_val0.665220 t_end151.000000 t_end_val0.657869
 r_peak282822.000000 r_peak_value1.087508 rr_pre_interval315.000000 rr_post_interval246.000000 p_onset180.000000 p_onset_val-0.084043 p_peak210.000000 p_peak_val0.070818 p_end220.000000 p_end_val0.000693 qrs_onset227.000000 qrs_onset_val0.045880 qrs_end18.000000 qrs_end_val-0.247242 t_peak67.000000 t_peak_val0.266657 t_end137.000000 t_end_val0.012869
 r_peak283068.000000 r_peak_value1.256742 rr_pre_interval246.000000 rr_post_interval168.000000 p_onset121.000000 p_onset_val-0.034873 p_peak145.000000 p_peak_val0.107054 p_end147.000000 p_end_val0.097492 qrs_onset153.000000 qrs_onset_val-0.001975 qrs_end20.000000 qrs_end_val-0.302755 t_peak79.000000 t_peak_val0.149924 t_end81.000000 t_end_val0.133357
 r_peak283236.000000 r_peak_value1.383292 rr_pre_interval168.000000 rr_post_interval223.000000 p_onset171.000000 p_onset_val-0.030593 p_peak202.000000 p_peak_val0.047069 p_end200.000000 p_end_val-0.078182 qrs_onset207.000000 qrs_onset_val-0.003746 qrs_end18.000000 qrs_end_val-0.281598 t_peak66.000000 t_peak_val0.190238 t_end112.000000 t_end_val-0.059558
 r_peak283459.000000 r_peak_value1.424592 rr_pre_interval223.000000 rr_post_interval155.000000 p_onset109.000000 p_onset_val-0.037727 p_peak133.000000 p_peak_val0.314797 p_end131.000000 p_end_val0.217995 qrs_onset138.000000 qrs_onset_val-0.335516 qrs_end15.000000 qrs_end_val-0.273669 t_peak83.000000 t_peak_val0.173479 t_end109.000000 t_end_val-0.037727
 r_peak283614.000000 r_peak_value1.049593 rr_pre_interval155.000000 rr_post_interval252.000000 p_onset118.000000 p_onset_val0.673151 p_peak174.000000 p_peak_val0.359952 p_end177.000000 p_end_val0.331410 qrs_onset237.000000 qrs_onset_val0.014107 qrs_end17.000000 qrs_end_val-0.269936 t_peak116.000000 t_peak_val0.786396 t_end119.000000 t_end_val0.638982
 r_peak283866.000000 r_peak_value1.079468 rr_pre_interval252.000000 rr_post_interval242.000000 p_onset161.000000 p_onset_val-0.020000 p_peak204.000000 p_peak_val0.000231 p_end209.000000 p_end_val-0.027151 qrs_onset224.000000 qrs_onset_val-0.082214 qrs_end15.000000 qrs_end_val-0.258933 t_peak66.000000 t_peak_val0.131398 t_end120.000000 t_end_val-0.064498
 r_peak284108.000000 r_peak_value1.273287 rr_pre_interval242.000000 rr_post_interval224.000000 p_onset102.000000 p_onset_val-0.017649 p_peak136.000000 p_peak_val0.070767 p_end153.000000 p_end_val-0.032209 qrs_onset207.000000 qrs_onset_val0.031207 qrs_end17.000000 qrs_end_val-0.208029 t_peak65.000000 t_peak_val0.143024 t_end77.000000 t_end_val0.106865
 r_peak284332.000000 r_peak_value1.443118 rr_pre_interval224.000000 rr_post_interval266.000000 p_onset215.000000 p_onset_val-0.004264 p_peak245.000000 p_peak_val0.056082 p_end243.000000 p_end_val0.016379 qrs_onset250.000000 qrs_onset_val0.030189 qrs_end21.000000 qrs_end_val-0.394672 t_peak68.000000 t_peak_val0.291206 t_end142.000000 t_end_val-0.044967
 r_peak284598.000000 r_peak_value1.551489 rr_pre_interval266.000000 rr_post_interval263.000000 p_onset137.000000 p_onset_val0.029561 p_peak162.000000 p_peak_val0.037475 p_end168.000000 p_end_val0.030296 qrs_onset249.000000 qrs_onset_val0.156298 qrs_end18.000000 qrs_end_val-0.335940 t_peak72.000000 t_peak_val0.152132 t_end134.000000 t_end_val0.017460
 r_peak284861.000000 r_peak_value1.009732 rr_pre_interval263.000000 rr_post_interval146.000000 p_onset98.000000 p_onset_val-0.125690 p_peak121.000000 p_peak_val0.096897 p_end132.000000 p_end_val-0.997868 qrs_onset139.000000 qrs_onset_val-0.037726 qrs_end14.000000 qrs_end_val-0.227292 t_peak61.000000 t_peak_val0.291943 t_end64.000000 t_end_val0.279953
 r_peak285007.000000 r_peak_value0.936771 rr_pre_interval146.000000 rr_post_interval307.000000 p_onset128.000000 p_onset_val1.026049 p_peak196.000000 p_peak_val0.276788 p_end198.000000 p_end_val0.257791 qrs_onset289.000000 qrs_onset_val0.026788 qrs_end12.000000 qrs_end_val-0.140235 t_peak128.000000 t_peak_val1.026049 t_end198.000000 t_end_val0.257791
 r_peak285314.000000 r_peak_value1.454751 rr_pre_interval307.000000 rr_post_interval177.000000 p_onset94.000000 p_onset_val-0.042207 p_peak137.000000 p_peak_val0.001821 p_end143.000000 p_end_val-0.031972 qrs_onset161.000000 qrs_onset_val-0.034528 qrs_end19.000000 qrs_end_val-0.459293 t_peak77.000000 t_peak_val0.061446 t_end94.000000 t_end_val-0.042207
 r_peak285491.000000 r_peak_value1.475049 rr_pre_interval177.000000 rr_post_interval263.000000 p_onset201.000000 p_onset_val0.176740 p_peak242.000000 p_peak_val0.222177 p_end244.000000 p_end_val0.253336 qrs_onset247.000000 qrs_onset_val0.174841 qrs_end16.000000 qrs_end_val-0.284812 t_peak133.000000 t_peak_val1.244140 t_end164.000000 t_end_val-0.371583
 r_peak285754.000000 r_peak_value1.036895 rr_pre_interval263.000000 rr_post_interval350.000000 p_onset287.000000 p_onset_val0.057683 p_peak329.000000 p_peak_val0.257351 p_end327.000000 p_end_val0.223135 qrs_onset334.000000 qrs_onset_val-0.024498 qrs_end19.000000 qrs_end_val-0.345643 t_peak204.000000 t_peak_val0.656862 t_end268.000000 t_end_val0.165518
 r_peak286104.000000 r_peak_value0.960581 rr_pre_interval350.000000 rr_post_interval204.000000 p_onset142.000000 p_onset_val-0.041129 p_peak182.000000 p_peak_val0.025315 p_end181.000000 p_end_val0.006616 qrs_onset188.000000 qrs_onset_val-0.091645 qrs_end18.000000 qrs_end_val-0.238214 t_peak66.000000 t_peak_val0.193163 t_end85.000000 t_end_val0.087694
 r_peak286308.000000 r_peak_value1.305645 rr_pre_interval204.000000 rr_post_interval243.000000 p_onset130.000000 p_onset_val0.057158 p_peak168.000000 p_peak_val0.082679 p_end183.000000 p_end_val-0.080782 qrs_onset229.000000 qrs_onset_val0.150424 qrs_end13.000000 qrs_end_val-0.285798 t_peak62.000000 t_peak_val0.117067 t_end65.000000 t_end_val0.111894
 r_peak286551.000000 r_peak_value1.484719 rr_pre_interval243.000000 rr_post_interval247.000000 p_onset97.000000 p_onset_val-0.081472 p_peak184.000000 p_peak_val1.290267 p_end186.000000 p_end_val1.288903 qrs_onset235.000000 qrs_onset_val-0.010784 qrs_end15.000000 qrs_end_val-0.227554 t_peak102.000000 t_peak_val0.124813 t_end186.000000 t_end_val1.288903
 r_peak286798.000000 r_peak_value0.853606 rr_pre_interval247.000000 rr_post_interval209.000000 p_onset114.000000 p_onset_val-0.012196 p_peak188.000000 p_peak_val0.141506 p_end189.000000 p_end_val0.141961 qrs_onset197.000000 qrs_onset_val-0.338651 qrs_end17.000000 qrs_end_val-0.302978 t_peak69.000000 t_peak_val0.143072 t_end114.000000 t_end_val-0.012196
 r_peak287007.000000 r_peak_value0.856915 rr_pre_interval209.000000 rr_post_interval476.000000 p_onset206.000000 p_onset_val0.874043 p_peak316.000000 p_peak_val1.094564 p_end377.000000 p_end_val-0.054778 qrs_onset459.000000 qrs_onset_val-0.064186 qrs_end13.000000 qrs_end_val-0.087365 t_peak190.000000 t_peak_val1.303072 t_end206.000000 t_end_val0.874043
 r_peak287483.000000 r_peak_value1.319310 rr_pre_interval476.000000 rr_post_interval335.000000 p_onset280.000000 p_onset_val-0.030611 p_peak314.000000 p_peak_val0.261065 p_end311.000000 p_end_val0.065876 qrs_onset318.000000 qrs_onset_val0.252914 qrs_end16.000000 qrs_end_val-0.347899 t_peak73.000000 t_peak_val0.143556 t_end77.000000 t_end_val0.124151
 r_peak287818.000000 r_peak_value1.616912 rr_pre_interval335.000000 rr_post_interval177.000000 p_onset89.000000 p_onset_val-0.094767 p_peak114.000000 p_peak_val0.213367 p_end158.000000 p_end_val0.144840 qrs_onset165.000000 qrs_onset_val0.251800 qrs_end17.000000 qrs_end_val-0.285125 t_peak104.000000 t_peak_val0.016047 t_end111.000000 t_end_val0.064088
 r_peak287995.000000 r_peak_value0.572474 rr_pre_interval177.000000 rr_post_interval310.000000 p_onset135.000000 p_onset_val1.130424 p_peak227.000000 p_peak_val0.011242 p_end280.000000 p_end_val-0.180277 qrs_onset294.000000 qrs_onset_val-0.154104 qrs_end10.000000 qrs_end_val1.006738 t_peak23.000000 t_peak_val1.465814 t_end135.000000 t_end_val1.130424
 r_peak288305.000000 r_peak_value1.203577 rr_pre_interval310.000000 rr_post_interval169.000000 p_onset78.000000 p_onset_val0.055768 p_peak103.000000 p_peak_val0.067932 p_end123.000000 p_end_val0.006678 qrs_onset155.000000 qrs_onset_val0.090928 qrs_end14.000000 qrs_end_val-0.295280 t_peak96.000000 t_peak_val0.096914 t_end123.000000 t_end_val0.006678
 r_peak288474.000000 r_peak_value1.587260 rr_pre_interval169.000000 rr_post_interval266.000000 p_onset225.000000 p_onset_val-0.045377 p_peak245.000000 p_peak_val0.109950 p_end244.000000 p_end_val0.050170 qrs_onset251.000000 qrs_onset_val0.112380 qrs_end16.000000 qrs_end_val-0.284685 t_peak65.000000 t_peak_val0.177745 t_end103.000000 t_end_val-0.072163
 r_peak288740.000000 r_peak_value1.421879 rr_pre_interval266.000000 rr_post_interval220.000000 p_onset119.000000 p_onset_val0.031096 p_peak141.000000 p_peak_val0.031787 p_end142.000000 p_end_val0.017289 qrs_onset205.000000 qrs_onset_val0.107934 qrs_end16.000000 qrs_end_val-0.260206 t_peak75.000000 t_peak_val0.042491 t_end119.000000 t_end_val0.031096
 r_peak288960.000000 r_peak_value1.470395 rr_pre_interval220.000000 rr_post_interval394.000000 p_onset289.000000 p_onset_val-0.019187 p_peak347.000000 p_peak_val0.044297 p_end364.000000 p_end_val-0.052989 qrs_onset378.000000 qrs_onset_val-0.052926 qrs_end15.000000 qrs_end_val-0.365248 t_peak119.000000 t_peak_val0.792865 t_end128.000000 t_end_val-0.171054
 r_peak289354.000000 r_peak_value1.204723 rr_pre_interval394.000000 rr_post_interval157.000000 p_onset112.000000 p_onset_val0.016785 p_peak136.000000 p_peak_val0.234608 p_end134.000000 p_end_val0.115941 qrs_onset141.000000 qrs_onset_val-0.082147 qrs_end15.000000 qrs_end_val-0.225309 t_peak74.000000 t_peak_val0.082885 t_end81.000000 t_end_val0.060392
 r_peak289511.000000 r_peak_value1.249013 rr_pre_interval157.000000 rr_post_interval199.000000 p_onset68.000000 p_onset_val0.229283 p_peak132.000000 p_peak_val0.011460 p_end155.000000 p_end_val-0.166111 qrs_onset182.000000 qrs_onset_val0.136552 qrs_end34.000000 qrs_end_val-0.318463 t_peak67.000000 t_peak_val0.258389 t_end75.000000 t_end_val0.151180
 r_peak289710.000000 r_peak_value1.534343 rr_pre_interval199.000000 rr_post_interval289.000000 p_onset246.000000 p_onset_val-0.062712 p_peak268.000000 p_peak_val0.129059 p_end269.000000 p_end_val0.181645 qrs_onset284.000000 qrs_onset_val1.071818 qrs_end17.000000 qrs_end_val-0.340281 t_peak71.000000 t_peak_val0.124752 t_end73.000000 t_end_val0.099423
 r_peak289999.000000 r_peak_value1.465722 rr_pre_interval289.000000 rr_post_interval143.000000 p_onset72.000000 p_onset_val0.012539 p_peak122.000000 p_peak_val0.208886 p_end121.000000 p_end_val0.078918 qrs_onset128.000000 qrs_onset_val-0.250582 qrs_end9.000000 qrs_end_val0.014671 t_peak76.000000 t_peak_val0.057993 t_end110.000000 t_end_val-0.140893
 r_peak290142.000000 r_peak_value1.186302 rr_pre_interval143.000000 rr_post_interval236.000000 p_onset192.000000 p_onset_val-0.067990 p_peak215.000000 p_peak_val-0.002926 p_end220.000000 p_end_val0.083955 qrs_onset223.000000 qrs_onset_val0.042717 qrs_end16.000000 qrs_end_val-0.228823 t_peak60.000000 t_peak_val0.466758 t_end114.000000 t_end_val0.007257
 r_peak290378.000000 r_peak_value1.138547 rr_pre_interval236.000000 rr_post_interval177.000000 p_onset95.000000 p_onset_val0.006319 p_peak117.000000 p_peak_val0.035111 p_end128.000000 p_end_val0.025676 qrs_onset163.000000 qrs_onset_val0.003669 qrs_end15.000000 qrs_end_val-0.234398 t_peak76.000000 t_peak_val0.043327 t_end95.000000 t_end_val0.006319
 r_peak290555.000000 r_peak_value1.416553 rr_pre_interval177.000000 rr_post_interval169.000000 p_onset67.000000 p_onset_val0.198294 p_peak125.000000 p_peak_val-0.022943 p_end137.000000 p_end_val-0.102236 qrs_onset162.000000 qrs_onset_val0.613719 qrs_end15.000000 qrs_end_val-0.283446 t_peak66.000000 t_peak_val0.208608 t_end68.000000 t_end_val0.167934
 r_peak290724.000000 r_peak_value1.464768 rr_pre_interval169.000000 rr_post_interval326.000000 p_onset284.000000 p_onset_val-0.017679 p_peak305.000000 p_peak_val0.117086 p_end303.000000 p_end_val0.079312 qrs_onset310.000000 qrs_onset_val0.245738 qrs_end14.000000 qrs_end_val-0.250105 t_peak65.000000 t_peak_val0.266745 t_end123.000000 t_end_val0.036378
 r_peak291050.000000 r_peak_value1.395174 rr_pre_interval326.000000 rr_post_interval391.000000 p_onset187.000000 p_onset_val0.941858 p_peak236.000000 p_peak_val0.043223 p_end318.000000 p_end_val-0.266348 qrs_onset375.000000 qrs_onset_val0.039234 qrs_end18.000000 qrs_end_val-0.222914 t_peak202.000000 t_peak_val1.339053 t_end318.000000 t_end_val-0.266348
 r_peak291441.000000 r_peak_value1.277133 rr_pre_interval391.000000 rr_post_interval306.000000 p_onset262.000000 p_onset_val-0.073257 p_peak285.000000 p_peak_val0.152981 p_end281.000000 p_end_val-0.051800 qrs_onset288.000000 qrs_onset_val0.107808 qrs_end13.000000 qrs_end_val-0.245940 t_peak116.000000 t_peak_val0.076689 t_end124.000000 t_end_val0.056581
 r_peak291747.000000 r_peak_value1.580849 rr_pre_interval306.000000 rr_post_interval212.000000 p_onset158.000000 p_onset_val-0.060737 p_peak191.000000 p_peak_val0.078355 p_end181.000000 p_end_val-0.032021 qrs_onset188.000000 qrs_onset_val-0.013761 qrs_end17.000000 qrs_end_val-0.339059 t_peak75.000000 t_peak_val0.009936 t_end92.000000 t_end_val-0.062493
 r_peak291959.000000 r_peak_value1.744027 rr_pre_interval212.000000 rr_post_interval179.000000 p_onset71.000000 p_onset_val0.179308 p_peak120.000000 p_peak_val-0.120065 p_end133.000000 p_end_val-0.166445 qrs_onset156.000000 qrs_onset_val-0.137244 qrs_end20.000000 qrs_end_val-0.420629 t_peak72.000000 t_peak_val0.184653 t_end105.000000 t_end_val-0.175238
 r_peak292138.000000 r_peak_value1.763381 rr_pre_interval179.000000 rr_post_interval318.000000 p_onset195.000000 p_onset_val-0.081443 p_peak258.000000 p_peak_val0.014639 p_end285.000000 p_end_val-0.102036 qrs_onset303.000000 qrs_onset_val0.230740 qrs_end19.000000 qrs_end_val-0.351587 t_peak65.000000 t_peak_val0.247001 t_end114.000000 t_end_val-0.006113
 r_peak292456.000000 r_peak_value1.215349 rr_pre_interval318.000000 rr_post_interval175.000000 p_onset103.000000 p_onset_val0.008558 p_peak126.000000 p_peak_val0.068040 p_end142.000000 p_end_val0.011362 qrs_onset161.000000 qrs_onset_val0.092115 qrs_end17.000000 qrs_end_val-0.354527 t_peak74.000000 t_peak_val0.125033 t_end103.000000 t_end_val0.008558
 r_peak292631.000000 r_peak_value1.052446 rr_pre_interval175.000000 rr_post_interval228.000000 p_onset141.000000 p_onset_val-0.222900 p_peak185.000000 p_peak_val0.294043 p_end187.000000 p_end_val0.262319 qrs_onset214.000000 qrs_onset_val-0.283903 qrs_end14.000000 qrs_end_val-0.245250 t_peak123.000000 t_peak_val0.995266 t_end152.000000 t_end_val-0.283230
 r_peak292859.000000 r_peak_value0.897727 rr_pre_interval228.000000 rr_post_interval146.000000 p_onset63.000000 p_onset_val0.156834 p_peak90.000000 p_peak_val0.114481 p_end100.000000 p_end_val0.055704 qrs_onset139.000000 qrs_onset_val0.733007 qrs_end15.000000 qrs_end_val-0.299263 t_peak60.000000 t_peak_val0.185705 t_end66.000000 t_end_val0.170908
 r_peak293005.000000 r_peak_value1.520641 rr_pre_interval146.000000 rr_post_interval274.000000 p_onset228.000000 p_onset_val-0.031850 p_peak250.000000 p_peak_val0.070172 p_end254.000000 p_end_val0.061755 qrs_onset260.000000 qrs_onset_val0.180485 qrs_end10.000000 qrs_end_val0.067710 t_peak117.000000 t_peak_val0.105156 t_end119.000000 t_end_val0.073668
 r_peak293279.000000 r_peak_value1.497365 rr_pre_interval274.000000 rr_post_interval189.000000 p_onset105.000000 p_onset_val-0.087664 p_peak168.000000 p_peak_val0.293951 p_end170.000000 p_end_val0.307884 qrs_onset177.000000 qrs_onset_val0.505470 qrs_end16.000000 qrs_end_val-0.165080 t_peak112.000000 t_peak_val0.221693 t_end200.000000 t_end_val1.385615
 r_peak293468.000000 r_peak_value1.008199 rr_pre_interval189.000000 rr_post_interval140.000000 p_onset66.000000 p_onset_val-0.030876 p_peak86.000000 p_peak_val-0.129449 p_end93.000000 p_end_val-0.152396 qrs_onset128.000000 qrs_onset_val-0.000547 qrs_end19.000000 qrs_end_val1.134862 t_peak20.000000 t_peak_val1.095631 t_end58.000000 t_end_val-0.057693
 r_peak293608.000000 r_peak_value1.578245 rr_pre_interval140.000000 rr_post_interval328.000000 p_onset140.000000 p_onset_val-0.301770 p_peak197.000000 p_peak_val0.317398 p_end275.000000 p_end_val-0.109280 qrs_onset312.000000 qrs_onset_val0.031442 qrs_end10.000000 qrs_end_val-0.123182 t_peak121.000000 t_peak_val0.631286 t_end158.000000 t_end_val-0.117867
 r_peak293936.000000 r_peak_value1.445986 rr_pre_interval328.000000 rr_post_interval266.000000 p_onset143.000000 p_onset_val-0.173276 p_peak199.000000 p_peak_val0.845908 p_end241.000000 p_end_val-0.005692 qrs_onset248.000000 qrs_onset_val0.320359 qrs_end17.000000 qrs_end_val-0.307728 t_peak116.000000 t_peak_val0.205721 t_end148.000000 t_end_val-0.236051
 r_peak294202.000000 r_peak_value1.390485 rr_pre_interval266.000000 rr_post_interval336.000000 p_onset287.000000 p_onset_val0.042367 p_peak315.000000 p_peak_val0.124171 p_end310.000000 p_end_val0.033685 qrs_onset317.000000 qrs_onset_val0.130096 qrs_end19.000000 qrs_end_val-0.498542 t_peak162.000000 t_peak_val0.028561 t_end172.000000 t_end_val-0.030812
 r_peak294538.000000 r_peak_value1.690003 rr_pre_interval336.000000 rr_post_interval383.000000 p_onset196.000000 p_onset_val0.719750 p_peak231.000000 p_peak_val0.049436 p_end251.000000 p_end_val-0.063183 qrs_onset368.000000 qrs_onset_val0.077333 qrs_end17.000000 qrs_end_val-0.269150 t_peak206.000000 t_peak_val0.975707 t_end251.000000 t_end_val-0.063183
 r_peak294921.000000 r_peak_value1.523870 rr_pre_interval383.000000 rr_post_interval214.000000 p_onset110.000000 p_onset_val-0.010797 p_peak145.000000 p_peak_val0.037780 p_end158.000000 p_end_val0.006400 qrs_onset198.000000 qrs_onset_val0.074033 qrs_end15.000000 qrs_end_val-0.301662 t_peak105.000000 t_peak_val0.045504 t_end115.000000 t_end_val-0.008586
 r_peak295135.000000 r_peak_value1.727512 rr_pre_interval214.000000 rr_post_interval266.000000 p_onset211.000000 p_onset_val-0.032083 p_peak243.000000 p_peak_val0.019957 p_end241.000000 p_end_val-0.025937 qrs_onset248.000000 qrs_onset_val0.092465 qrs_end16.000000 qrs_end_val-0.339448 t_peak64.000000 t_peak_val0.136711 t_end87.000000 t_end_val-0.008632
 r_peak295401.000000 r_peak_value1.639987 rr_pre_interval266.000000 rr_post_interval146.000000 p_onset103.000000 p_onset_val-0.058228 p_peak125.000000 p_peak_val0.012852 p_end124.000000 p_end_val-0.017352 qrs_onset131.000000 qrs_onset_val0.014075 qrs_end15.000000 qrs_end_val-0.304166 t_peak73.000000 t_peak_val0.115111 t_end75.000000 t_end_val0.075111
 r_peak295547.000000 r_peak_value1.572145 rr_pre_interval146.000000 rr_post_interval190.000000 p_onset67.000000 p_onset_val0.166784 p_peak125.000000 p_peak_val-0.059201 p_end145.000000 p_end_val-0.105877 qrs_onset168.000000 qrs_onset_val-0.067852 qrs_end16.000000 qrs_end_val-0.241224 t_peak70.000000 t_peak_val0.205609 t_end114.000000 t_end_val-0.078557
 r_peak295737.000000 r_peak_value1.846017 rr_pre_interval190.000000 rr_post_interval251.000000 p_onset147.000000 p_onset_val-0.124482 p_peak175.000000 p_peak_val0.001585 p_end193.000000 p_end_val-0.043901 qrs_onset236.000000 qrs_onset_val0.097666 qrs_end20.000000 qrs_end_val-0.432522 t_peak72.000000 t_peak_val0.130314 t_end104.000000 t_end_val-0.136925
