 r_peak670.000000 r_peak_value0.754263 rr_pre_interval670.000000 rr_post_interval211.000000 p_onset87.000000 p_onset_val-0.163854 p_peak127.000000 p_peak_val0.053889 p_end152.000000 p_end_val-0.272037 qrs_onset199.000000 qrs_onset_val-0.263700 qrs_end5.000000 qrs_end_val0.905251 t_peak20.000000 t_peak_val1.131756 t_end80.000000 t_end_val-0.142804
 r_peak397004.000000 r_peak_value2.392993 rr_pre_interval311.000000 rr_post_interval1209.000000 p_onset859.000000 p_onset_val-0.332429 p_peak889.000000 p_peak_val2.154782 p_end930.000000 p_end_val-2.212523 qrs_onset1194.000000 qrs_onset_val-0.208338 qrs_end16.000000 qrs_end_val0.663386 t_peak295.000000 t_peak_val2.342633 t_end335.000000 t_end_val-1.959218
 r_peak398213.000000 r_peak_value1.844734 rr_pre_interval1209.000000 rr_post_interval317.000000 p_onset276.000000 p_onset_val-0.228714 p_peak296.000000 p_peak_val-0.193572 p_end293.000000 p_end_val-0.204732 qrs_onset300.000000 qrs_onset_val-0.171801 qrs_end18.000000 qrs_end_val-0.012853 t_peak124.000000 t_peak_val1.251306 t_end187.000000 t_end_val-0.337503
 r_peak398530.000000 r_peak_value2.180958 rr_pre_interval317.000000 rr_post_interval537.000000 p_onset278.000000 p_onset_val0.439826 p_peak323.000000 p_peak_val0.783318 p_end385.000000 p_end_val-0.194050 qrs_onset514.000000 qrs_onset_val0.108634 qrs_end18.000000 qrs_end_val0.500486 t_peak119.000000 t_peak_val1.399406 t_end278.000000 t_end_val0.439826
 r_peak399067.000000 r_peak_value2.199841 rr_pre_interval537.000000 rr_post_interval598.000000 p_onset304.000000 p_onset_val1.486004 p_peak420.000000 p_peak_val1.079258 p_end475.000000 p_end_val0.195199 qrs_onset581.000000 qrs_onset_val-0.384076 qrs_end23.000000 qrs_end_val-0.786679 t_peak298.000000 t_peak_val1.993762 t_end338.000000 t_end_val-1.945941
 r_peak399665.000000 r_peak_value1.659186 rr_pre_interval598.000000 rr_post_interval297.000000 p_onset40.000000 p_onset_val-1.883183 p_peak184.000000 p_peak_val-0.187350 p_end197.000000 p_end_val-0.223229 qrs_onset283.000000 qrs_onset_val-0.302226 qrs_end23.000000 qrs_end_val-0.585596 t_peak121.000000 t_peak_val1.369481 t_end173.000000 t_end_val-0.250844
 r_peak399962.000000 r_peak_value2.019860 rr_pre_interval297.000000 rr_post_interval305.000000 p_onset122.000000 p_onset_val1.301655 p_peak193.000000 p_peak_val-0.210249 p_end216.000000 p_end_val-0.246894 qrs_onset291.000000 qrs_onset_val-0.209388 qrs_end32.000000 qrs_end_val-1.759655 t_peak124.000000 t_peak_val1.316092 t_end190.000000 t_end_val-0.229622
 r_peak400267.000000 r_peak_value2.062585 rr_pre_interval305.000000 rr_post_interval313.000000 p_onset223.000000 p_onset_val-0.257146 p_peak272.000000 p_peak_val0.157229 p_end278.000000 p_end_val0.075505 qrs_onset297.000000 qrs_onset_val-0.121141 qrs_end16.000000 qrs_end_val0.601520 t_peak121.000000 t_peak_val1.145629 t_end186.000000 t_end_val-0.268682
 r_peak400580.000000 r_peak_value1.962384 rr_pre_interval313.000000 rr_post_interval326.000000 p_onset136.000000 p_onset_val0.995612 p_peak224.000000 p_peak_val0.169046 p_end264.000000 p_end_val-0.311489 qrs_onset311.000000 qrs_onset_val-0.303201 qrs_end22.000000 qrs_end_val0.093873 t_peak132.000000 t_peak_val1.014843 t_end199.000000 t_end_val-0.247287
 r_peak400906.000000 r_peak_value1.885218 rr_pre_interval326.000000 rr_post_interval307.000000 p_onset41.000000 p_onset_val-1.835046 p_peak185.000000 p_peak_val-0.233414 p_end199.000000 p_end_val-0.260077 qrs_onset293.000000 qrs_onset_val-0.321082 qrs_end33.000000 qrs_end_val-1.112179 t_peak130.000000 t_peak_val1.003332 t_end199.000000 t_end_val-0.260077
 r_peak401213.000000 r_peak_value1.949656 rr_pre_interval307.000000 rr_post_interval293.000000 p_onset114.000000 p_onset_val1.526365 p_peak183.000000 p_peak_val-0.177148 p_end237.000000 p_end_val-0.324638 qrs_onset280.000000 qrs_onset_val-0.231112 qrs_end20.000000 qrs_end_val-0.064639 t_peak110.000000 t_peak_val1.558544 t_end164.000000 t_end_val-0.232477
 r_peak401506.000000 r_peak_value2.011240 rr_pre_interval293.000000 rr_post_interval297.000000 p_onset189.000000 p_onset_val-0.188163 p_peak213.000000 p_peak_val-0.154514 p_end223.000000 p_end_val-0.205471 qrs_onset277.000000 qrs_onset_val-0.192680 qrs_end23.000000 qrs_end_val-0.354888 t_peak118.000000 t_peak_val0.963858 t_end161.000000 t_end_val-0.269373
 r_peak401803.000000 r_peak_value2.152616 rr_pre_interval297.000000 rr_post_interval609.000000 p_onset303.000000 p_onset_val1.399403 p_peak426.000000 p_peak_val1.100382 p_end486.000000 p_end_val0.172464 qrs_onset593.000000 qrs_onset_val-0.348854 qrs_end34.000000 qrs_end_val-1.597964 t_peak297.000000 t_peak_val1.961613 t_end340.000000 t_end_val-2.204422
 r_peak402412.000000 r_peak_value1.866710 rr_pre_interval609.000000 rr_post_interval318.000000 p_onset276.000000 p_onset_val-0.312742 p_peak297.000000 p_peak_val-0.257022 p_end306.000000 p_end_val-0.210815 qrs_onset307.000000 qrs_onset_val-0.209342 qrs_end20.000000 qrs_end_val0.242495 t_peak141.000000 t_peak_val1.406157 t_end225.000000 t_end_val-0.258025
 r_peak402730.000000 r_peak_value1.983559 rr_pre_interval318.000000 rr_post_interval315.000000 p_onset267.000000 p_onset_val-0.231192 p_peak292.000000 p_peak_val-0.210298 p_end293.000000 p_end_val-0.230282 qrs_onset300.000000 qrs_onset_val-0.198667 qrs_end14.000000 qrs_end_val0.756192 t_peak132.000000 t_peak_val1.201205 t_end224.000000 t_end_val-0.266426
 r_peak403045.000000 r_peak_value2.035112 rr_pre_interval315.000000 rr_post_interval311.000000 p_onset256.000000 p_onset_val-0.270344 p_peak281.000000 p_peak_val0.125989 p_end297.000000 p_end_val-0.032004 qrs_onset302.000000 qrs_onset_val-0.042992 qrs_end15.000000 qrs_end_val0.561303 t_peak125.000000 t_peak_val1.270969 t_end199.000000 t_end_val-0.184764
 r_peak403356.000000 r_peak_value1.592666 rr_pre_interval311.000000 rr_post_interval601.000000 p_onset311.000000 p_onset_val1.240171 p_peak424.000000 p_peak_val1.215140 p_end468.000000 p_end_val0.176349 qrs_onset590.000000 qrs_onset_val-0.261301 qrs_end9.000000 qrs_end_val0.994639 t_peak305.000000 t_peak_val1.870767 t_end343.000000 t_end_val-2.099578
 r_peak403957.000000 r_peak_value1.958730 rr_pre_interval601.000000 rr_post_interval293.000000 p_onset114.000000 p_onset_val1.502476 p_peak187.000000 p_peak_val-0.227115 p_end234.000000 p_end_val-0.373117 qrs_onset282.000000 qrs_onset_val-0.219156 qrs_end10.000000 qrs_end_val0.930940 t_peak115.000000 t_peak_val1.512476 t_end184.000000 t_end_val-0.244199
 r_peak404250.000000 r_peak_value1.940343 rr_pre_interval293.000000 rr_post_interval305.000000 p_onset124.000000 p_onset_val0.894105 p_peak223.000000 p_peak_val-0.120530 p_end232.000000 p_end_val-0.151346 qrs_onset291.000000 qrs_onset_val-0.134074 qrs_end17.000000 qrs_end_val0.519121 t_peak122.000000 t_peak_val0.909591 t_end170.000000 t_end_val-0.237554
 r_peak404555.000000 r_peak_value2.131067 rr_pre_interval305.000000 rr_post_interval312.000000 p_onset222.000000 p_onset_val-0.190563 p_peak257.000000 p_peak_val0.149750 p_end264.000000 p_end_val0.059766 qrs_onset298.000000 qrs_onset_val-0.277899 qrs_end21.000000 qrs_end_val-0.135390 t_peak128.000000 t_peak_val1.255203 t_end180.000000 t_end_val-0.149716
 r_peak404867.000000 r_peak_value1.901049 rr_pre_interval312.000000 rr_post_interval563.000000 p_onset208.000000 p_onset_val0.164797 p_peak352.000000 p_peak_val0.677511 p_end427.000000 p_end_val-0.153650 qrs_onset547.000000 qrs_onset_val-0.295329 qrs_end17.000000 qrs_end_val0.415110 t_peak135.000000 t_peak_val1.023339 t_end208.000000 t_end_val0.164797
 r_peak405430.000000 r_peak_value1.890769 rr_pre_interval563.000000 rr_post_interval400.000000 p_onset265.000000 p_onset_val-0.457100 p_peak300.000000 p_peak_val1.920550 p_end335.000000 p_end_val-1.935361 qrs_onset379.000000 qrs_onset_val0.544359 qrs_end22.000000 qrs_end_val-0.468980 t_peak117.000000 t_peak_val1.297906 t_end202.000000 t_end_val-0.271990
 r_peak405830.000000 r_peak_value1.422136 rr_pre_interval400.000000 rr_post_interval191.000000 p_onset90.000000 p_onset_val-0.268966 p_peak167.000000 p_peak_val-0.307790 p_end177.000000 p_end_val-0.276442 qrs_onset179.000000 qrs_onset_val-0.235063 qrs_end8.000000 qrs_end_val1.520741 t_peak20.000000 t_peak_val1.368232 t_end75.000000 t_end_val-0.256646
 r_peak406021.000000 r_peak_value2.018840 rr_pre_interval191.000000 rr_post_interval304.000000 p_onset118.000000 p_onset_val1.016283 p_peak222.000000 p_peak_val-0.157086 p_end268.000000 p_end_val-0.220172 qrs_onset290.000000 qrs_onset_val-0.113556 qrs_end18.000000 qrs_end_val0.340094 t_peak121.000000 t_peak_val1.055702 t_end219.000000 t_end_val-0.182166
 r_peak406325.000000 r_peak_value2.134625 rr_pre_interval304.000000 rr_post_interval307.000000 p_onset205.000000 p_onset_val-0.220000 p_peak250.000000 p_peak_val0.069105 p_end278.000000 p_end_val-0.362178 qrs_onset292.000000 qrs_onset_val-0.387633 qrs_end31.000000 qrs_end_val-1.838603 t_peak129.000000 t_peak_val1.295351 t_end205.000000 t_end_val-0.220000
 r_peak406632.000000 r_peak_value1.846851 rr_pre_interval307.000000 rr_post_interval313.000000 p_onset132.000000 p_onset_val0.897446 p_peak200.000000 p_peak_val0.172760 p_end247.000000 p_end_val-0.310470 qrs_onset300.000000 qrs_onset_val-0.317179 qrs_end23.000000 qrs_end_val-0.116535 t_peak132.000000 t_peak_val0.897446 t_end200.000000 t_end_val0.172760
 r_peak406945.000000 r_peak_value1.904640 rr_pre_interval313.000000 rr_post_interval315.000000 p_onset259.000000 p_onset_val-0.303810 p_peak294.000000 p_peak_val-0.258276 p_end301.000000 p_end_val-0.199545 qrs_onset306.000000 qrs_onset_val-0.084169 qrs_end15.000000 qrs_end_val0.581348 t_peak140.000000 t_peak_val1.232352 t_end191.000000 t_end_val-0.328058
 r_peak407260.000000 r_peak_value1.628199 rr_pre_interval315.000000 rr_post_interval309.000000 p_onset251.000000 p_onset_val-0.297883 p_peak286.000000 p_peak_val-0.200859 p_end286.000000 p_end_val-0.200859 qrs_onset293.000000 qrs_onset_val-0.198650 qrs_end16.000000 qrs_end_val0.251772 t_peak124.000000 t_peak_val1.309816 t_end186.000000 t_end_val-0.330814
 r_peak407569.000000 r_peak_value2.090675 rr_pre_interval309.000000 rr_post_interval306.000000 p_onset261.000000 p_onset_val-0.261191 p_peak282.000000 p_peak_val0.176254 p_end282.000000 p_end_val0.176254 qrs_onset289.000000 qrs_onset_val0.097179 qrs_end31.000000 qrs_end_val-1.126503 t_peak126.000000 t_peak_val1.018965 t_end174.000000 t_end_val-0.183105
 r_peak407875.000000 r_peak_value2.082416 rr_pre_interval306.000000 rr_post_interval300.000000 p_onset188.000000 p_onset_val-0.107661 p_peak222.000000 p_peak_val0.191761 p_end265.000000 p_end_val-0.401927 qrs_onset287.000000 qrs_onset_val-0.364201 qrs_end23.000000 qrs_end_val-0.913479 t_peak121.000000 t_peak_val1.303749 t_end125.000000 t_end_val1.300709
 r_peak408175.000000 r_peak_value1.935876 rr_pre_interval300.000000 rr_post_interval294.000000 p_onset40.000000 p_onset_val-1.799295 p_peak177.000000 p_peak_val0.025065 p_end252.000000 p_end_val-0.404201 qrs_onset281.000000 qrs_onset_val-0.348776 qrs_end13.000000 qrs_end_val0.746502 t_peak120.000000 t_peak_val1.015775 t_end166.000000 t_end_val0.134283
 r_peak408469.000000 r_peak_value1.991912 rr_pre_interval294.000000 rr_post_interval296.000000 p_onset250.000000 p_onset_val-0.298104 p_peak275.000000 p_peak_val-0.205628 p_end283.000000 p_end_val-0.137086 qrs_onset286.000000 qrs_onset_val-0.125002 qrs_end18.000000 qrs_end_val0.148698 t_peak116.000000 t_peak_val1.625002 t_end169.000000 t_end_val-0.310767
 r_peak408765.000000 r_peak_value2.102162 rr_pre_interval296.000000 rr_post_interval527.000000 p_onset229.000000 p_onset_val-1.902996 p_peak322.000000 p_peak_val0.941093 p_end451.000000 p_end_val-0.203073 qrs_onset515.000000 qrs_onset_val-0.137527 qrs_end14.000000 qrs_end_val0.766189 t_peak130.000000 t_peak_val1.048338 t_end215.000000 t_end_val-0.816851
 r_peak409292.000000 r_peak_value2.019951 rr_pre_interval527.000000 rr_post_interval316.000000 p_onset230.000000 p_onset_val-0.233388 p_peak283.000000 p_peak_val-0.190767 p_end300.000000 p_end_val-0.172867 qrs_onset302.000000 qrs_onset_val-0.145845 qrs_end17.000000 qrs_end_val0.523087 t_peak125.000000 t_peak_val1.198953 t_end179.000000 t_end_val-0.250393
 r_peak409608.000000 r_peak_value2.194672 rr_pre_interval316.000000 rr_post_interval302.000000 p_onset222.000000 p_onset_val-0.233074 p_peak248.000000 p_peak_val0.079105 p_end258.000000 p_end_val-0.016381 qrs_onset289.000000 qrs_onset_val-0.381473 qrs_end19.000000 qrs_end_val0.218685 t_peak123.000000 t_peak_val1.246574 t_end191.000000 t_end_val-0.169185
 r_peak409910.000000 r_peak_value1.943370 rr_pre_interval302.000000 rr_post_interval299.000000 p_onset123.000000 p_onset_val1.018930 p_peak187.000000 p_peak_val0.329965 p_end246.000000 p_end_val-0.361738 qrs_onset283.000000 qrs_onset_val-0.434588 qrs_end13.000000 qrs_end_val0.846458 t_peak121.000000 t_peak_val1.040702 t_end167.000000 t_end_val-0.175350
 r_peak410209.000000 r_peak_value1.963280 rr_pre_interval299.000000 rr_post_interval296.000000 p_onset38.000000 p_onset_val-2.485216 p_peak181.000000 p_peak_val-0.176504 p_end230.000000 p_end_val-0.363777 qrs_onset286.000000 qrs_onset_val-0.235282 qrs_end23.000000 qrs_end_val-1.020592 t_peak125.000000 t_peak_val1.673203 t_end181.000000 t_end_val-0.176504
 r_peak410505.000000 r_peak_value2.086066 rr_pre_interval296.000000 rr_post_interval304.000000 p_onset170.000000 p_onset_val-0.338823 p_peak214.000000 p_peak_val-0.221363 p_end225.000000 p_end_val-0.269341 qrs_onset289.000000 qrs_onset_val-0.203166 qrs_end11.000000 qrs_end_val1.164530 t_peak124.000000 t_peak_val0.997981 t_end198.000000 t_end_val-0.266708
 r_peak410809.000000 r_peak_value2.010094 rr_pre_interval304.000000 rr_post_interval622.000000 p_onset313.000000 p_onset_val1.569122 p_peak439.000000 p_peak_val1.075943 p_end529.000000 p_end_val0.165974 qrs_onset605.000000 qrs_onset_val-0.398916 qrs_end20.000000 qrs_end_val0.331835 t_peak308.000000 t_peak_val2.020157 t_end352.000000 t_end_val-2.180626
 r_peak411431.000000 r_peak_value1.896193 rr_pre_interval622.000000 rr_post_interval314.000000 p_onset193.000000 p_onset_val-0.296941 p_peak223.000000 p_peak_val-0.281220 p_end228.000000 p_end_val-0.312365 qrs_onset303.000000 qrs_onset_val-0.240547 qrs_end22.000000 qrs_end_val-0.137930 t_peak128.000000 t_peak_val1.205097 t_end199.000000 t_end_val-0.293211
 r_peak411745.000000 r_peak_value2.018167 rr_pre_interval314.000000 rr_post_interval527.000000 p_onset245.000000 p_onset_val-0.969938 p_peak329.000000 p_peak_val0.923506 p_end415.000000 p_end_val-0.204436 qrs_onset515.000000 qrs_onset_val-0.173432 qrs_end13.000000 qrs_end_val0.888496 t_peak120.000000 t_peak_val1.623308 t_end245.000000 t_end_val-0.969938
 r_peak412272.000000 r_peak_value2.046333 rr_pre_interval527.000000 rr_post_interval290.000000 p_onset118.000000 p_onset_val1.346194 p_peak188.000000 p_peak_val-0.111502 p_end238.000000 p_end_val-0.308181 qrs_onset279.000000 qrs_onset_val-0.206707 qrs_end19.000000 qrs_end_val0.040095 t_peak118.000000 t_peak_val1.346194 t_end183.000000 t_end_val-0.112802
 r_peak412562.000000 r_peak_value1.991898 rr_pre_interval290.000000 rr_post_interval601.000000 p_onset303.000000 p_onset_val1.384953 p_peak425.000000 p_peak_val1.309876 p_end500.000000 p_end_val0.335581 qrs_onset587.000000 qrs_onset_val-0.370862 qrs_end15.000000 qrs_end_val0.823935 t_peak297.000000 t_peak_val1.947587 t_end338.000000 t_end_val-2.313322
 r_peak413163.000000 r_peak_value1.877006 rr_pre_interval601.000000 rr_post_interval317.000000 p_onset262.000000 p_onset_val-0.320547 p_peak296.000000 p_peak_val-0.268606 p_end296.000000 p_end_val-0.268606 qrs_onset303.000000 qrs_onset_val-0.233135 qrs_end16.000000 qrs_end_val0.153635 t_peak129.000000 t_peak_val1.390532 t_end136.000000 t_end_val1.357741
 r_peak413480.000000 r_peak_value1.971051 rr_pre_interval317.000000 rr_post_interval323.000000 p_onset278.000000 p_onset_val-0.210704 p_peak300.000000 p_peak_val-0.182178 p_end303.000000 p_end_val-0.186441 qrs_onset310.000000 qrs_onset_val-0.139170 qrs_end15.000000 qrs_end_val0.657445 t_peak129.000000 t_peak_val1.214588 t_end218.000000 t_end_val-0.260736
 r_peak413803.000000 r_peak_value1.992461 rr_pre_interval323.000000 rr_post_interval609.000000 p_onset316.000000 p_onset_val1.457211 p_peak432.000000 p_peak_val1.234296 p_end480.000000 p_end_val-0.158148 qrs_onset597.000000 qrs_onset_val-0.389230 qrs_end18.000000 qrs_end_val0.084482 t_peak311.000000 t_peak_val1.939499 t_end353.000000 t_end_val-2.254482
 r_peak414412.000000 r_peak_value1.883246 rr_pre_interval609.000000 rr_post_interval303.000000 p_onset39.000000 p_onset_val-2.448419 p_peak182.000000 p_peak_val-0.188367 p_end217.000000 p_end_val-0.324843 qrs_onset291.000000 qrs_onset_val-0.259312 qrs_end21.000000 qrs_end_val-0.445471 t_peak123.000000 t_peak_val1.443635 t_end217.000000 t_end_val-0.324843
 r_peak414715.000000 r_peak_value2.025470 rr_pre_interval303.000000 rr_post_interval299.000000 p_onset116.000000 p_onset_val1.342841 p_peak186.000000 p_peak_val-0.220719 p_end208.000000 p_end_val-0.244891 qrs_onset284.000000 qrs_onset_val-0.268949 qrs_end16.000000 qrs_end_val0.516019 t_peak116.000000 t_peak_val1.342841 t_end185.000000 t_end_val-0.222302
 r_peak415014.000000 r_peak_value2.059061 rr_pre_interval299.000000 rr_post_interval304.000000 p_onset255.000000 p_onset_val-0.255579 p_peak283.000000 p_peak_val0.202055 p_end284.000000 p_end_val0.173591 qrs_onset291.000000 qrs_onset_val0.166460 qrs_end17.000000 qrs_end_val0.297179 t_peak121.000000 t_peak_val1.355505 t_end175.000000 t_end_val-0.227646
 r_peak415318.000000 r_peak_value2.090066 rr_pre_interval304.000000 rr_post_interval626.000000 p_onset315.000000 p_onset_val1.530972 p_peak440.000000 p_peak_val1.197078 p_end537.000000 p_end_val-0.268216 qrs_onset614.000000 qrs_onset_val-0.267053 qrs_end25.000000 qrs_end_val-1.083196 t_peak311.000000 t_peak_val1.968714 t_end353.000000 t_end_val-2.104297
 r_peak415944.000000 r_peak_value2.023120 rr_pre_interval626.000000 rr_post_interval527.000000 p_onset117.000000 p_onset_val1.770688 p_peak318.000000 p_peak_val1.030853 p_end351.000000 p_end_val0.522025 qrs_onset515.000000 qrs_onset_val-0.182899 qrs_end15.000000 qrs_end_val0.452681 t_peak116.000000 t_peak_val1.777554 t_end241.000000 t_end_val-1.935528
 r_peak416471.000000 r_peak_value2.085784 rr_pre_interval527.000000 rr_post_interval592.000000 p_onset302.000000 p_onset_val1.586586 p_peak417.000000 p_peak_val1.202513 p_end474.000000 p_end_val-0.099483 qrs_onset579.000000 qrs_onset_val-0.383463 qrs_end18.000000 qrs_end_val0.322712 t_peak296.000000 t_peak_val2.092432 t_end334.000000 t_end_val-2.389557
 r_peak417063.000000 r_peak_value1.622823 rr_pre_interval592.000000 rr_post_interval619.000000 p_onset303.000000 p_onset_val1.393117 p_peak430.000000 p_peak_val1.566290 p_end501.000000 p_end_val-0.345213 qrs_onset605.000000 qrs_onset_val-0.242711 qrs_end13.000000 qrs_end_val0.408497 t_peak298.000000 t_peak_val1.849480 t_end338.000000 t_end_val-2.381538
 r_peak417682.000000 r_peak_value1.990659 rr_pre_interval619.000000 rr_post_interval318.000000 p_onset267.000000 p_onset_val-0.222980 p_peak291.000000 p_peak_val-0.172996 p_end309.000000 p_end_val-0.121868 qrs_onset313.000000 qrs_onset_val0.117897 qrs_end17.000000 qrs_end_val0.334075 t_peak123.000000 t_peak_val1.271113 t_end192.000000 t_end_val-0.299565
 r_peak418000.000000 r_peak_value2.047318 rr_pre_interval318.000000 rr_post_interval308.000000 p_onset217.000000 p_onset_val-0.175958 p_peak260.000000 p_peak_val0.117226 p_end269.000000 p_end_val0.032384 qrs_onset294.000000 qrs_onset_val-0.356347 qrs_end16.000000 qrs_end_val0.707444 t_peak122.000000 t_peak_val1.317330 t_end180.000000 t_end_val-0.187448
 r_peak418308.000000 r_peak_value1.924781 rr_pre_interval308.000000 rr_post_interval305.000000 p_onset125.000000 p_onset_val1.244605 p_peak196.000000 p_peak_val0.350968 p_end264.000000 p_end_val-0.390737 qrs_onset294.000000 qrs_onset_val-0.352710 qrs_end23.000000 qrs_end_val-0.459593 t_peak126.000000 t_peak_val1.256188 t_end198.000000 t_end_val0.328147
 r_peak418613.000000 r_peak_value1.846866 rr_pre_interval305.000000 rr_post_interval297.000000 p_onset126.000000 p_onset_val1.651223 p_peak187.000000 p_peak_val-0.169294 p_end191.000000 p_end_val-0.198400 qrs_onset286.000000 qrs_onset_val-0.252431 qrs_end15.000000 qrs_end_val0.497618 t_peak126.000000 t_peak_val1.651223 t_end188.000000 t_end_val-0.185830
 r_peak418910.000000 r_peak_value2.017552 rr_pre_interval297.000000 rr_post_interval827.000000 p_onset487.000000 p_onset_val-0.121817 p_peak520.000000 p_peak_val2.097789 p_end558.000000 p_end_val-2.016694 qrs_onset810.000000 qrs_onset_val0.108729 qrs_end14.000000 qrs_end_val0.799026 t_peak312.000000 t_peak_val1.547348 t_end373.000000 t_end_val-0.272557
 r_peak419737.000000 r_peak_value1.957023 rr_pre_interval827.000000 rr_post_interval310.000000 p_onset124.000000 p_onset_val1.256881 p_peak216.000000 p_peak_val0.257574 p_end223.000000 p_end_val0.162307 qrs_onset299.000000 qrs_onset_val-0.193870 qrs_end18.000000 qrs_end_val0.299532 t_peak125.000000 t_peak_val1.268479 t_end218.000000 t_end_val0.201742
 r_peak420047.000000 r_peak_value1.986851 rr_pre_interval310.000000 rr_post_interval323.000000 p_onset130.000000 p_onset_val1.334517 p_peak194.000000 p_peak_val-0.385232 p_end224.000000 p_end_val-0.444717 qrs_onset305.000000 qrs_onset_val-0.405047 qrs_end16.000000 qrs_end_val0.509891 t_peak133.000000 t_peak_val1.357400 t_end224.000000 t_end_val-0.444717
 r_peak420370.000000 r_peak_value2.260533 rr_pre_interval323.000000 rr_post_interval309.000000 p_onset216.000000 p_onset_val-0.330108 p_peak284.000000 p_peak_val-0.248433 p_end287.000000 p_end_val-0.268339 qrs_onset297.000000 qrs_onset_val-0.172665 qrs_end24.000000 qrs_end_val-0.340187 t_peak123.000000 t_peak_val1.087226 t_end174.000000 t_end_val-0.345341
 r_peak420679.000000 r_peak_value2.460235 rr_pre_interval309.000000 rr_post_interval295.000000 p_onset200.000000 p_onset_val-0.157007 p_peak262.000000 p_peak_val0.075673 p_end271.000000 p_end_val-0.002194 qrs_onset278.000000 qrs_onset_val-0.119718 qrs_end15.000000 qrs_end_val0.486990 t_peak125.000000 t_peak_val1.140375 t_end200.000000 t_end_val-0.157007
 r_peak420974.000000 r_peak_value2.258952 rr_pre_interval295.000000 rr_post_interval295.000000 p_onset121.000000 p_onset_val1.294688 p_peak199.000000 p_peak_val0.283122 p_end258.000000 p_end_val-0.397398 qrs_onset284.000000 qrs_onset_val-0.329263 qrs_end17.000000 qrs_end_val0.154060 t_peak118.000000 t_peak_val1.315817 t_end162.000000 t_end_val-0.187944
 r_peak421269.000000 r_peak_value2.068621 rr_pre_interval295.000000 rr_post_interval298.000000 p_onset39.000000 p_onset_val-2.227071 p_peak183.000000 p_peak_val-0.172648 p_end190.000000 p_end_val-0.205405 qrs_onset285.000000 qrs_onset_val-0.301879 qrs_end13.000000 qrs_end_val0.553088 t_peak131.000000 t_peak_val1.497818 t_end186.000000 t_end_val-0.215233
 r_peak421567.000000 r_peak_value1.975111 rr_pre_interval298.000000 rr_post_interval311.000000 p_onset259.000000 p_onset_val-0.223261 p_peak286.000000 p_peak_val-0.146802 p_end288.000000 p_end_val-0.149890 qrs_onset298.000000 qrs_onset_val-0.118810 qrs_end20.000000 qrs_end_val-0.336582 t_peak119.000000 t_peak_val1.420649 t_end184.000000 t_end_val-0.307569
 r_peak421878.000000 r_peak_value2.041582 rr_pre_interval311.000000 rr_post_interval556.000000 p_onset129.000000 p_onset_val1.262003 p_peak342.000000 p_peak_val1.010747 p_end483.000000 p_end_val-0.059418 qrs_onset541.000000 qrs_onset_val0.182696 qrs_end18.000000 qrs_end_val0.448886 t_peak127.000000 t_peak_val1.290123 t_end229.000000 t_end_val-0.616565
 r_peak422434.000000 r_peak_value1.923589 rr_pre_interval556.000000 rr_post_interval309.000000 p_onset187.000000 p_onset_val-0.079761 p_peak218.000000 p_peak_val0.317308 p_end273.000000 p_end_val-0.381050 qrs_onset295.000000 qrs_onset_val-0.392334 qrs_end20.000000 qrs_end_val-0.204859 t_peak128.000000 t_peak_val1.200409 t_end187.000000 t_end_val-0.079761
 r_peak422743.000000 r_peak_value1.762070 rr_pre_interval309.000000 rr_post_interval304.000000 p_onset40.000000 p_onset_val-2.511188 p_peak185.000000 p_peak_val-0.213070 p_end202.000000 p_end_val-0.262663 qrs_onset293.000000 qrs_onset_val-0.272052 qrs_end15.000000 qrs_end_val0.432415 t_peak120.000000 t_peak_val1.394894 t_end202.000000 t_end_val-0.262663
 r_peak423047.000000 r_peak_value1.790127 rr_pre_interval304.000000 rr_post_interval301.000000 p_onset40.000000 p_onset_val-2.330673 p_peak188.000000 p_peak_val-0.205465 p_end251.000000 p_end_val-0.353950 qrs_onset287.000000 qrs_onset_val-0.286819 qrs_end18.000000 qrs_end_val0.188965 t_peak122.000000 t_peak_val1.287138 t_end187.000000 t_end_val-0.210372
 r_peak423348.000000 r_peak_value1.861097 rr_pre_interval301.000000 rr_post_interval298.000000 p_onset243.000000 p_onset_val-0.225501 p_peak261.000000 p_peak_val0.138449 p_end267.000000 p_end_val0.045126 qrs_onset285.000000 qrs_onset_val-0.253371 qrs_end34.000000 qrs_end_val-1.709326 t_peak121.000000 t_peak_val1.201784 t_end187.000000 t_end_val-0.086033
 r_peak423646.000000 r_peak_value1.784701 rr_pre_interval298.000000 rr_post_interval300.000000 p_onset119.000000 p_onset_val1.192164 p_peak195.000000 p_peak_val0.369094 p_end255.000000 p_end_val-0.410847 qrs_onset287.000000 qrs_onset_val-0.417084 qrs_end24.000000 qrs_end_val-0.960174 t_peak117.000000 t_peak_val1.209076 t_end164.000000 t_end_val-0.125136
 r_peak423946.000000 r_peak_value1.737869 rr_pre_interval300.000000 rr_post_interval315.000000 p_onset270.000000 p_onset_val-0.298854 p_peak290.000000 p_peak_val-0.240141 p_end301.000000 p_end_val-0.202930 qrs_onset302.000000 qrs_onset_val-0.180501 qrs_end30.000000 qrs_end_val-1.926896 t_peak130.000000 t_peak_val1.642611 t_end213.000000 t_end_val-0.288337
